City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,falmouth,50.1544,-5.0711,14.5,92,100,9.39,GB,1715681100
303,coquimbo,-29.9533,-71.3436,13.26,75,100,1.85,CL,1715681270
304,haimen,23.1935,116.6142,22.14,68,2,5.44,CN,1715681270
305,oyama,36.3,139.8,18.15,57,0,2.8,JP,1715681015
306,bay roberts,47.5999,-53.2648,6.95,97,100,2.24,CA,1715681270
307,razampeta,14.1833,79.1667,39.22,27,67,5.6,IN,1715681061
308,sinop,41.7711,34.8709,10.24,60,72,2.38,TR,1715681270
309,puerto madero,14.7208,-92.4215,26.11,78,40,0.0,MX,1715681270
310,caninde,-4.3589,-39.3117,24.45,88,61,1.48,BR,1715680975
311,twon-brass,4.3151,6.2418,28.63,77,100,2.84,NG,1715681271
312,puerto rico,-26.796,-55.024,11.13,93,100,2.15,AR,1715681271
313,cosala,24.4125,-106.6908,20.13,48,0,1.76,MX,1715681271
314,santa ana,33.7456,-117.8678,16.14,82,100,2.06,US,1715681272
315,djenne,13.9061,-4.5533,35.07,35,96,5.3,ML,1715681272
316,rabat,33.9911,-6.8401,18.91,100,75,2.06,MA,1715681230
317,chonchi,-42.6128,-73.8092,-0.44,96,11,0.96,CL,1715681273
318,tiksi,71.6872,128.8694,-7.84,94,98,4.41,RU,1715681273
319,quang ngai,15.1167,108.8,29.17,73,100,2.52,VN,1715681048
320,borba,-4.3878,-59.5939,22.91,99,69,0.78,BR,1715681273
321,show low,34.2542,-110.0298,10.16,37,0,2.57,US,1715681274
322,dickinson,29.4608,-95.0513,20.55,95,0,0.0,US,1715681274
323,hit,33.6416,42.8251,29.01,22,0,4.08,IQ,1715681274
324,alnwick,55.4132,-1.7056,15.05,88,100,2.57,GB,1715681274
325,adam,22.3756,57.5233,36.88,17,3,3.97,OM,1715681274
326,mhamid,29.82,-5.72,33.54,10,3,1.28,MA,1715681275
327,gettysburg,39.8309,-77.2311,15.56,94,91,2.24,US,1715680982
328,st. john's,47.5649,-52.7093,6.75,96,100,3.13,CA,1715681275
329,onguday,50.75,86.15,18.43,56,78,0.14,RU,1715681275
330,dalandzadgad,43.5708,104.425,17.18,6,22,6.84,MN,1715680988
331,aripuana,-9.1667,-60.6333,22.16,97,70,0.7,BR,1715681276
332,port alberni,49.2413,-124.8028,10.48,91,97,0.45,CA,1715681276
333,saint-francois,46.4154,3.9054,15.52,91,100,3.09,FR,1715681276
334,presidente dutra,-5.29,-44.49,23.72,89,97,0.92,BR,1715681276
335,charters towers,-20.1,146.2667,21.52,74,50,4.41,AU,1715681276
336,kristiansund,63.1115,7.732,21.36,32,0,2.57,NO,1715681276
337,zhangjiakou,40.81,114.8794,16.76,22,100,2.49,CN,1715681140
338,tonghae,37.5439,129.1069,18.67,65,0,2.8,KR,1715680994
339,rinconada,19.35,-96.5167,26.25,57,76,1.62,MX,1715681277
340,charlotte amalie,18.3419,-64.9307,25.37,73,99,5.97,VI,1715681277
341,dubbo,-32.25,148.6167,11.07,82,8,1.54,AU,1715680619
342,yanam,16.7333,82.2167,33.93,51,8,4.27,IN,1715681278
343,la passe,45.5549,-0.8967,16.34,76,98,7.7,FR,1715681278
344,bearsden,55.9154,-4.3328,16.73,88,75,6.71,GB,1715681278
345,panaba,21.2833,-88.2667,25.67,89,84,5.43,MX,1715681278
346,yerofey pavlovich,53.9667,121.9667,10.46,34,21,3.55,RU,1715681278
347,lucapa,-8.4192,20.7447,31.7,29,26,2.62,AO,1715681279
348,dongkan,33.9997,119.8308,24.11,57,0,2.13,CN,1715681279
349,haiku-pauwela,20.9219,-156.3051,22.8,89,0,0.89,US,1715681279
350,shache,38.4167,77.2406,33.09,4,0,5.39,CN,1715681279
351,katsuren-haebaru,26.3369,127.8719,23.01,88,40,2.57,JP,1715681138
352,dalnegorsk,44.5604,135.5701,12.32,85,100,0.8,RU,1715681280
353,balasore,21.4942,86.9317,30.47,66,30,5.26,IN,1715681280
354,usinsk,65.9939,57.5281,-3.29,95,100,6.71,RU,1715681280
355,la oliva,28.6105,-13.9291,20.66,68,75,7.72,ES,1715681280
356,livingston,55.9029,-3.5226,16.74,88,20,6.17,GB,1715681281
357,gokwe,-18.2048,28.9349,25.12,30,0,3.54,ZW,1715681281
358,taltal,-25.4,-70.4833,14.96,76,100,0.21,CL,1715681281
359,san andres,12.5847,-81.7006,29.01,79,20,5.66,CO,1715681281
360,peace river,56.2501,-117.286,9.25,62,59,3.58,CA,1715681282
361,westport,41.1415,-73.3579,12.67,86,0,0.0,US,1715681282
362,hobyo,5.3505,48.5268,31.52,64,19,7.92,SO,1715681282
363,crane,31.3974,-102.3501,19.88,44,0,3.3,US,1715681282
364,florenville,49.6998,5.3074,18.83,70,57,4.08,BE,1715681283
365,markovo,57.3206,107.0881,20.19,27,90,4.29,RU,1715681283
366,grandview,38.8858,-94.533,15.86,96,75,3.09,US,1715681283
